strike,maturity,iv
92.456,0.0684931506849315,0.514954768243191
98.2345,0.0684931506849315,0.466714130567786
104.013,0.0684931506849315,0.41699875666353103
109.7915,0.0684931506849315,0.365866678445092
112.68075,0.0684931506849315,0.340372478321292
115.57,0.0684931506849315,0.316200000262176
118.45925,0.0684931506849315,0.295976930131762
121.3485,0.0684931506849315,0.284362238388021
127.127,0.0684931506849315,0.295665931866651
132.9055,0.0684931506849315,0.328896541712859
138.684,0.0684931506849315,0.363910186142763
92.456,0.1643835616438356,0.439764516614226
98.2345,0.1643835616438356,0.40227116691908
104.013,0.1643835616438356,0.366072207812371
109.7915,0.1643835616438356,0.332516926052841
112.68075,0.1643835616438356,0.317414982676167
115.57,0.1643835616438356,0.303893933476987
118.45925,0.1643835616438356,0.292297888998021
121.3485,0.1643835616438356,0.28288889389934
127.127,0.1643835616438356,0.270932981533782
132.9055,0.1643835616438356,0.26710682290754
138.684,0.1643835616438356,0.269091203635706
92.456,0.2410958904109589,0.427626601321729
98.2345,0.2410958904109589,0.399148587886502
104.013,0.2410958904109589,0.372212554416252
109.7915,0.2410958904109589,0.34739944538131307
112.68075,0.2410958904109589,0.336026825133232
115.57,0.2410958904109589,0.32548504948044704
118.45925,0.2410958904109589,0.315876911720162
121.3485,0.2410958904109589,0.307290570496945
127.127,0.2410958904109589,0.293403934639674
132.9055,0.2410958904109589,0.283923927740113
138.684,0.2410958904109589,0.278430349655211
92.456,0.3178082191780822,0.41022106871046593
98.2345,0.3178082191780822,0.385345019296939
104.013,0.3178082191780822,0.362254540973294
109.7915,0.3178082191780822,0.341335161527667
112.68075,0.3178082191780822,0.331819440852753
115.57,0.3178082191780822,0.322997236158609
118.45925,0.3178082191780822,0.314907414934183
121.3485,0.3178082191780822,0.307577444265667
127.127,0.3178082191780822,0.295236792877427
132.9055,0.3178082191780822,0.285907934101696
138.684,0.3178082191780822,0.279319521822227
92.456,0.4136986301369863,0.397361020097706
98.2345,0.4136986301369863,0.375326865612208
104.013,0.4136986301369863,0.355325321589614
109.7915,0.4136986301369863,0.337525408670129
112.68075,0.4136986301369863,0.329488880618581
115.57,0.4136986301369863,0.322037589252745
118.45925,0.4136986301369863,0.315170917238293
121.3485,0.4136986301369863,0.308881776440388
127.127,0.4136986301369863,0.297977546706831
132.9055,0.4136986301369863,0.289158103361866
138.684,0.4136986301369863,0.282199393938033
